movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,
霸王别姬,2,9.6,
这个杀手不太冷,3,9.4,
阿甘正传,4,9.4,
美丽人生,5,9.5,
泰坦尼克号,6,9.3,
千与千寻,7,9.3,
辛德勒的名单,8,9.5,
盗梦空间,9,9.3,
忠犬八公的故事,10,9.3,
机器人总动员,11,9.3,
三傻大闹宝莱坞,12,9.2,
海上钢琴师,13,9.2,
放牛班的春天,14,9.3,
楚门的世界,15,9.2,
大话西游之大圣娶亲,16,9.2,
星际穿越,17,9.2,
龙猫,18,9.2,
教父,19,9.3,
熔炉,20,9.3,
无间道,21,9.2,
疯狂动物城,22,9.2,
当幸福来敲门,23,9.0,
怦然心动,24,9.0,
触不可及,25,9.2,
蝙蝠侠：黑暗骑士,26,9.1,
乱世佳人,27,9.2,
活着,28,9.2,
控方证人,29,9.6,
少年派的奇幻漂流,30,9.0,
指环王3：王者无敌,31,9.2,
天堂电影院,32,9.2,
鬼子来了,33,9.2,
天空之城,34,9.1,
十二怒汉,35,9.4,
摔跤吧！爸爸,36,9.0,
飞屋环游记,37,9.0,
大话西游之月光宝盒,38,9.0,
哈尔的移动城堡,39,9.0,
搏击俱乐部,40,9.0,
罗马假日,41,9.0,
闻香识女人,42,9.0,
末代皇帝,43,9.2,
辩护人,44,9.2,
窃听风暴,45,9.1,
寻梦环游记,46,9.0,
素媛,47,9.2,
两杆大烟枪,48,9.1,
死亡诗社,49,9.0,
飞越疯人院,50,9.1,
指环王2：双塔奇兵,51,9.0,
教父2,52,9.2,
V字仇杀队,53,8.9,
指环王1：魔戒再现,54,9.0,
狮子王,55,9.0,
美丽心灵,56,9.0,
饮食男女,57,9.1,
海豚湾,58,9.3,
情书,59,8.9,
钢琴家,60,9.1,
本杰明·巴顿奇事,61,8.8,
看不见的客人,62,8.8,
黑客帝国,63,8.9,
美国往事,64,9.1,
哈利·波特与魔法石,65,8.9,
西西里的美丽传说,66,8.8,
大闹天宫,67,9.3,
小鞋子,68,9.2,
拯救大兵瑞恩,69,9.0,
让子弹飞,70,8.8,
致命魔术,71,8.8,
七宗罪,72,8.8,
音乐之声,73,9.0,
被嫌弃的松子的一生,74,8.9,
低俗小说,75,8.8,
猫鼠游戏,76,8.9,
沉默的羔羊,77,8.8,
天使爱美丽,78,8.7,
蝴蝶效应,79,8.8,
勇敢的心,80,8.9,
春光乍泄,81,8.9,
剪刀手爱德华,82,8.7,
心灵捕手,83,8.8,
穿条纹睡衣的男孩,84,9.0,
禁闭岛,85,8.7,
布达佩斯大饭店,86,8.8,
入殓师,87,8.8,
阿凡达,88,8.7,
幽灵公主,89,8.9,
阳光灿烂的日子,90,8.8,
致命ID,91,8.7,
加勒比海盗,92,8.7,
摩登时代,93,9.2,
第六感,94,8.8,
断背山,95,8.7,
重庆森林,96,8.7,
狩猎,97,9.1,
玛丽和马克思,98,8.9,
喜剧之王,99,8.7,
告白,100,8.7,
消失的爱人,101,8.7,
大鱼,102,8.8,
一一,103,9.0,
阳光姐妹淘,104,8.8,
射雕英雄传之东成西就,105,8.7,
小森林 夏秋篇,106,9.0,
爱在黎明破晓前,107,8.8,
甜蜜蜜,108,8.8,
请以你的名字呼唤我,109,8.8,
侧耳倾听,110,8.8,
驯龙高手,111,8.7,
红辣椒,112,8.9,
倩女幽魂,113,8.7,
恐怖直播,114,8.7,
超脱,115,8.8,
风之谷,116,8.8,
爱在日落黄昏时,117,8.8,
何以为家,118,9.0,
菊次郎的夏天,119,8.8,
上帝之城,120,8.9,
小森林 冬春篇,121,9.0,
哈利·波特与死亡圣器(下),122,8.7,
幸福终点站,123,8.7,
杀人回忆,124,8.7,
7号房的礼物,125,8.8,
借东西的小人阿莉埃蒂,126,8.7,
蝙蝠侠：黑暗骑士崛起,127,8.7,
神偷奶爸,128,8.5,
萤火之森,129,8.8,
唐伯虎点秋香,130,8.5,
超能陆战队,131,8.6,
怪兽电力公司,132,8.6,
无人知晓,133,9.1,
岁月神偷,134,8.7,
电锯惊魂,135,8.7,
七武士,136,9.2,
谍影重重3,137,8.8,
疯狂原始人,138,8.7,
真爱至上,139,8.6,
喜宴,140,8.9,
英雄本色,141,8.7,
血战钢锯岭,142,8.7,
东邪西毒,143,8.6,
萤火虫之墓,144,8.7,
贫民窟的百万富翁,145,8.5,
黑天鹅,146,8.5,
傲慢与偏见,147,8.5,
记忆碎片,148,8.6,
时空恋旅人,149,8.7,
海蒂和爷爷,150,9.1,
心迷宫,151,8.7,
纵横四海,152,8.8,
荒蛮故事,153,8.8,
教父3,154,8.8,
雨人,155,8.7,
完美的世界,156,9.1,
达拉斯买家俱乐部,157,8.7,
玩具总动员3,158,8.8,
花样年华,159,8.6,
卢旺达饭店,160,8.9,
三块广告牌,161,8.7,
被解救的姜戈,162,8.6,
海边的曼彻斯特,163,8.6,
恋恋笔记本,164,8.5,
你看起来好像很好吃,165,8.8,
你的名字。,166,8.4,
虎口脱险,167,8.9,
海洋,168,9.0,
头脑特工队,169,8.7,
二十二,170,8.7,
我是山姆,171,8.9,
无敌破坏王,172,8.7,
冰川时代,173,8.5,
雨中曲,174,9.0,
燃情岁月,175,8.8,
爆裂鼓手,176,8.6,
未麻的部屋,177,8.9,
人工智能,178,8.6,
模仿游戏,179,8.6,
一个叫欧维的男人决定去死,180,8.8,
穿越时空的少女,181,8.6,
忠犬八公物语,182,9.1,
房间,183,8.8,
魂断蓝桥,184,8.8,
魔女宅急便,185,8.6,
猜火车,186,8.5,
恐怖游轮,187,8.4,
完美陌生人,188,8.5,
罗生门,189,8.7,
哪吒闹海,190,8.9,
海街日记,191,8.7,
黑客帝国3：矩阵革命,192,8.6,
阿飞正传,193,8.5,
香水,194,8.5,
天书奇谭,195,9.1,
朗读者,196,8.5,
浪潮,197,8.7,
可可西里,198,8.7,
谍影重重2,199,8.6,
牯岭街少年杀人事件,200,8.8,
谍影重重,201,8.5,
战争之王,202,8.6,
地球上的星星,203,8.9,
惊魂记,204,8.9,
疯狂的石头,205,8.4,
青蛇,206,8.5,
初恋这件小事,207,8.3,
终结者2：审判日,208,8.6,
源代码,209,8.4,
步履不停,210,8.8,
一次别离,211,8.7,
新龙门客栈,212,8.5,
追随,213,8.9,
小萝莉的猴神大叔,214,8.5,
爱在午夜降临前,215,8.8,
再次出发之纽约遇见你,216,8.5,
撞车,217,8.6,
无耻混蛋,218,8.5,
功夫,219,8.3,
梦之安魂曲,220,8.7,
城市之光,221,9.3,
东京物语,222,9.2,
彗星来的那一夜,223,8.5,
奇迹男孩,224,8.6,
绿里奇迹,225,8.7,
血钻,226,8.6,
2001太空漫游,227,8.7,
聚焦,228,8.8,
这个男人来自地球,229,8.5,
E.T. 外星人,230,8.5,
末路狂花,231,8.7,
发条橙,232,8.5,
疯狂的麦克斯4：狂暴之路,233,8.6,
黑鹰坠落,234,8.6,
变脸,235,8.4,
头号玩家,236,8.7,
勇闯夺命岛,237,8.6,
黄金三镖客,238,9.1,
我爱你,239,9.0,
国王的演讲,240,8.4,
秒速5厘米,241,8.3,
非常嫌疑犯,242,8.6,
遗愿清单,243,8.6,
千钧一发,244,8.7,
卡萨布兰卡,245,8.6,
釜山行,246,8.4,
新世界,247,8.7,
驴得水,248,8.3,
四个春天,249,8.9,
美国丽人,250,8.5,
